id,disease,description,treatment
1,Alzheimers,"Alzheimer’s disease is an irreversible, progressive brain disorder that slowly destroys memory and thinking skills and, eventually, the ability to carry out the simplest tasks.",Cognition-enhancing medication.
2,Arthritis,"Arthritis is inflammation of one or more of your joints. Pain, swelling, and stiffness are the primary symptoms of arthritis.","Analgesics, Nonsteroidal anti-inflammatory drugs (NSAIDs), Disease-modifying antirheumatic drugs (DMARDs)."
3,Asthma,"Asthma is a major noncommunicable disease characterized by recurrent attacks of breathlessness and wheezing, which vary in severity and frequency from person to person.","Anti-inflammatory drugs, bronchodilators, Long-acting beta agonists (LABA) or antileukotriene agents."
4,Coronavirus,Coronavirus disease (COVID-19) is an infectious disease that causes mild to moderate respiratory illness and recover without requiring special treatment.,"Remdesvir, Bamlanivimab, Etesevimab, Casirivimab, Imdevimab."
5,Diabetes,"Diabetes is a disease in which your blood glucose, or blood sugar, levels are too high.","Type 1: Insulin injections, regular blood tests, special diet. Type 2: Eat healthily, be physically active, test blood glucose, oral medication, insulin."
6,Epilepsy,"Epilepsy is defined as a brain disorder characterized by an enduring predisposition to generate epileptic seizures and by the neurobiologic, cognitive, psychological, and social consequences of this condition. ","Carbamazepine, Divalproex, Diazepam, Ethosuximide, Phenytoin, Phenobarbital, Primidone, Valproic acid."
7,Glaucoma,"Glaucoma is a group of eye disorders that lead to progressive damage to the nerve that connects the eye to the brain called the optic nerve. People with glaucoma can lose nerve tissue, resulting in vision loss.",Eyedrops or pills.
8,Heart_Disease,"Heart disease describes a range of conditions that affect your heart. Diseases under the heart disease umbrella include blood vessel diseases, such as coronary artery disease; heart rhythm problems (arrhythmias); and heart defects you're born with (congenital heart defects), among others.","ACE Inhibitors, Antiarrhythmics, Beta-Blocker Therapy, Digoxin, Diuretics."
9,Heat_Stroke,"Heatstroke generally occurs when an individual has been too hot for too long, whether working, exercising, or simply sitting in a hot environment.",Increased water consumption and resting in a cool place.
10,Hyperthyroidism,"Hyperthyroidism is a condition of the thyroid. Occurs when the thyroid makes too much T4, T3, or both.","Radioactive iodine, Anti-thyroid medications, Beta blockers, Thyroidectomy."
11,Hypothermia,"Hypothermia is a medical emergency that occurs when your body loses heat faster than it can produce heat, causing a dangerously low body temperature. ","Passive rewarming, Blood rewarming, Warm intravenous fluids, Airway rewarming, Irrigation."
12,Jaundice,Jaundice causes your skin and the whites of your eyes to turn yellow.,"Medication or supplements, Iron boosting, Antiviral, Steroid medications."
13,Sinusitis,"Sinusitis is generally triggered by a viral upper respiratory tract infection, with only 2% of cases being complicated by bacterial sinusitis.","Sudafed, Zyrtec, Allegra, Claritin."
14,Tuberculosis,Tuberculosis (TB) is a potentially serious infectious disease that mainly affects your lungs. The bacteria that cause tuberculosis are spread from one person to another through tiny droplets released into the air via coughs and sneezes.,"Isoniazid, Rifampin (Rifadin, Rimactane), Ethambutol (Myambutol), Pyrazinamide."
